World Port Index Number,Latitude,Longitude,Main Port Name
7950.0,40.533333,-74.25,Maurer
52235.0,-2.733333,121.066667,Mangkasa Oil Terminal
47620.0,-13.35,50.0,Iharana
47360.0,-13.4,48.3,Andoany
47020.0,-5.25,39.766667,Chake Chake
47005.0,-6.816667,39.366667,Mjimwema Terminal
57245.0,-17.683333,168.55,Forari Bay
56820.0,-4.333333,152.266667,Kokopo
56710.0,-1.216667,144.3,Longan Island
56660.0,7.333333,134.45,Malakal Harbor
56630.0,9.516667,138.133333,Colonia
56600.0,7.433333,151.833333,Moen
56570.0,5.333333,163.033333,Lele Harbor
44804.0,36.85,36.166667,Delta Terminal
50350.0,-5.5,106.233333,Cinta Oil Terminal
4000.0,44.8,-79.716667,Port Severn
38330.0,36.133333,-5.35,Europa Point
56945.0,-5.166667,154.55,Queen Carola Harbor
7010.0,43.866667,-69.483333,New Harbor
5980.0,46.25,-60.3,Little Bras D Or
53020.0,-0.883333,131.233333,Tg. Sorong
4950.0,44.45,-88.066667,Depere
4630.0,45.016667,-85.766667,Leland
20940.0,70.583333,22.133333,Bredvik
19880.0,56.9,-154.25,Lazy Bay
12900.0,-22.816667,-43.15,Dtse / Gegua Oil Terminal
48104.0,27.933333,35.25,Sharmah
9210.0,29.733333,-95.2,Norsworthy
8400.0,35.15,-76.766667,Bayboro
4240.0,46.25,-83.883333,Hilton
4160.0,45.916667,-82.25,Kagawong
3130.0,44.066667,-76.133333,Chaumont
20000.0,57.566667,-156.033333,Kanatak
5520.0,48.766667,-64.383333,Douglastown
28615.0,57.0,23.433333,Lielupe
19630.0,60.2,-144.533333,Katalla
6750.0,44.15,-68.45,Minturn
6820.0,43.833333,-68.883333,Criehaven
29800.0,54.883333,10.416667,Aeroskobing
43950.0,46.35,35.366667,Kyrylivka
46691.0,-7.883333,-14.366667,North Point
57433.0,8.05,102.333333,Bongkot Terminal
52350.0,-0.65,119.733333,Donggala
3790.0,44.983333,-81.25,Lions Head
4150.0,45.866667,-82.166667,Honora
23300.0,59.783333,5.116667,Meling
23107.0,62.9,6.916667,Bud
23455.0,59.583333,5.15,Espevaer
19970.0,58.45,-152.683333,Bear Island
20270.0,58.966667,-156.916667,Koggiung
20350.0,62.9,-163.916667,Hamilton
5150.0,47.566667,-84.966667,Gargantua
42415.0,38.566667,23.283333,Larimna
31895.0,51.566667,-2.966667,Bird Port
38420.0,37.4,-1.55,Hornillo
40245.0,37.116667,15.25,Melilli Oil Terminal
43940.0,46.166667,34.816667,Henichesk
